condition,drugName,sentiment_score,sentiment_label
Depression,Viibryd,-0.10978835978835978,Negative
Depression,Effexor,0.03853535353535355,Neutral
Depression,Zyprexa,0.4,Positive
Depression,Venlafaxine,-0.40611111111111114,Negative
"Diabetes, Type 2",Trulicity,0.171875,Positive
"Diabetes, Type 2",Sitagliptin,0.10060606060606059,Positive
Depression,Venlafaxine,0.1131012506012506,Positive
Depression,Cymbalta,0.3166666666666666,Positive
Depression,Desvenlafaxine,0.2857142857142857,Positive
Depression,Effexor XR,0.2833333333333333,Positive
Depression,Duloxetine,0.13,Positive
High Blood Pressure,Lisinopril,0.05666666666666667,Neutral
Depression,Duloxetine,0.19166666666666665,Positive
Depression,Rexulti,0.125,Positive
Depression,Zoloft,0.15582010582010586,Positive
Depression,Viibryd,-0.55,Negative
Depression,Quetiapine,0.14444444444444446,Positive
Depression,Sertraline,0.1904761904761905,Positive
"Diabetes, Type 2",Empagliflozin,-0.1,Neutral
Depression,Venlafaxine,-0.05,Neutral
"Diabetes, Type 2",Trulicity,-0.15555555555555556,Negative
High Blood Pressure,Toprol-XL,0.033333333333333326,Neutral
Depression,Zoloft,0.0,Neutral
High Blood Pressure,Losartan,-0.3499999999999999,Negative
Depression,Pristiq,-0.030000000000000006,Neutral
Depression,Desvenlafaxine,-0.24444444444444446,Negative
Depression,Fluoxetine,0.13823529411764707,Positive
Depression,Venlafaxine,0.3608225108225108,Positive
High Blood Pressure,Hydrochlorothiazide,0.019230769230769235,Neutral
"Diabetes, Type 2",Liraglutide,0.010000000000000004,Neutral
Depression,Aripiprazole,-0.125,Negative
Depression,Citalopram,-0.1308333333333333,Negative
Depression,Pristiq,-0.014657738095238102,Neutral
High Blood Pressure,Azor,0.11666666666666668,Positive
Depression,Pristiq,0.0020979020979020944,Neutral
Depression,Viibryd,0.05419973544973544,Neutral
Depression,Levomilnacipran,-0.2699999999999999,Negative
Depression,Viibryd,0.26666666666666666,Positive
Depression,Citalopram,0.043333333333333335,Neutral
Depression,Fluoxetine,0.15276747062461346,Positive
Depression,Viibryd,0.015850815850815842,Neutral
High Blood Pressure,Metoprolol,0.08333333333333333,Neutral
Depression,St. john's wort,0.3346218487394958,Positive
Depression,Vilazodone,0.059523809523809514,Neutral
Depression,Citalopram,0.5090909090909091,Positive
Depression,Wellbutrin XL,-0.014930555555555567,Neutral
Depression,Emsam,-0.21875,Negative
High Blood Pressure,Diovan,0.0,Neutral
High Blood Pressure,Lisinopril,0.0,Neutral
Depression,Escitalopram,-0.03409090909090909,Neutral
Depression,Pristiq,0.04069264069264069,Neutral
Depression,Bupropion,0.5787878787878787,Positive
Depression,Desvenlafaxine,-0.030000000000000006,Neutral
"Diabetes, Type 2",Toujeo,0.1711111111111111,Positive
Depression,Desvenlafaxine,0.1,Neutral
Depression,Bupropion,0.0666666666666667,Neutral
Depression,Desvenlafaxine,0.28,Positive
High Blood Pressure,Losartan,0.16666666666666666,Positive
Depression,Zoloft,-0.04375000000000001,Neutral
"Diabetes, Type 2",Empagliflozin / linagliptin,0.2833333333333334,Positive
Depression,Pristiq,0.25,Positive
Depression,Bupropion,-0.049999999999999996,Neutral
Depression,Citalopram,0.21125,Positive
"Diabetes, Type 2",Jardiance,-0.03333333333333333,Neutral
Depression,Aripiprazole,0.6000000000000001,Positive
Depression,Celexa,0.18125,Positive
Depression,Aripiprazole,-0.15,Negative
Depression,Vortioxetine,0.25555555555555554,Positive
Depression,Fluoxetine,0.0,Neutral
"Diabetes, Type 2",Toujeo,0.6,Positive
Depression,Lexapro,0.282,Positive
Depression,Sertraline,0.3366666666666666,Positive
High Blood Pressure,Ramipril,-0.08888888888888886,Neutral
Depression,Paxil,0.1,Neutral
Depression,Celexa,0.0,Neutral
Depression,Desvenlafaxine,0.16666666666666666,Positive
High Blood Pressure,Hydrochlorothiazide,0.09333333333333334,Neutral
Depression,Bupropion,0.12333333333333334,Positive
Depression,Vilazodone,-0.5,Negative
"Diabetes, Type 2",Exenatide,0.16224489795918368,Positive
High Blood Pressure,Valsartan,0.11875,Positive
Depression,Trintellix,0.11785714285714285,Positive
Depression,Prozac,0.3333333333333333,Positive
Depression,Desvenlafaxine,0.2222222222222222,Positive
Depression,Venlafaxine,-0.5,Negative
Depression,Duloxetine,-0.03095238095238097,Neutral
High Blood Pressure,Diltiazem,0.16388888888888886,Positive
Depression,Effexor,0.14166666666666666,Positive
"Diabetes, Type 2",Sitagliptin,0.5111111111111111,Positive
Depression,Aripiprazole,0.32749999999999996,Positive
Depression,Venlafaxine,0.0,Neutral
High Blood Pressure,Propranolol,0.07796969696969697,Neutral
Depression,Prozac,0.09772727272727275,Neutral
Depression,Venlafaxine,0.15520833333333334,Positive
High Blood Pressure,Lisinopril,0.049999999999999996,Neutral
"Diabetes, Type 2",Bydureon,0.2857142857142857,Positive
Depression,Lamotrigine,-0.03636363636363636,Neutral
Depression,Bupropion,0.4375,Positive
Depression,Desvenlafaxine,-0.09016666666666669,Neutral
Depression,Isocarboxazid,0.1660714285714286,Positive
Depression,Bupropion,-0.1367424242424242,Negative
"Diabetes, Type 2",Dapagliflozin,-0.5384615384615384,Negative
"Diabetes, Type 2",Tresiba,0.25,Positive
Depression,Pristiq,0.33333333333333337,Positive
Depression,Limbitrol,-0.02333333333333329,Neutral
High Blood Pressure,Lisinopril,0.8,Positive
Depression,Venlafaxine,-0.22749999999999998,Negative
Depression,Sertraline,0.09960599296536794,Neutral
High Blood Pressure,Lisinopril,-0.06666666666666665,Neutral
Depression,Paroxetine,0.14375,Positive
"Diabetes, Type 2",Canagliflozin,-0.25,Negative
Depression,Paxil,0.1101851851851852,Positive
Depression,Escitalopram,0.07115384615384615,Neutral
Depression,Celexa,0.14583333333333334,Positive
Depression,Wellbutrin,-0.04118055555555554,Neutral
Depression,Deplin,0.5,Positive
Depression,Serzone,0.29,Positive
Depression,Desvenlafaxine,-0.1376068376068376,Negative
Depression,Levomilnacipran,-0.11083333333333334,Negative
Depression,Lamotrigine,-0.09375,Neutral
High Blood Pressure,Sectral,0.0,Neutral
"Diabetes, Type 2",Dulaglutide,-0.0483333333333333,Neutral
Depression,Desvenlafaxine,0.041666666666666664,Neutral
Depression,Bupropion,0.09916666666666665,Neutral
Depression,Venlafaxine,-0.31057692307692303,Negative
"Diabetes, Type 2",Kombiglyze XR,-0.08107142857142857,Neutral
Depression,Vilazodone,-0.09999999999999999,Neutral
Depression,Fluoxetine,-0.03333333333333333,Neutral
Depression,Bupropion,0.0,Neutral
Depression,Bupropion,0.0378888888888889,Neutral
Depression,Citalopram,0.18541666666666667,Positive
Depression,Viibryd,-0.0625,Neutral
Depression,Citalopram,-0.13108974358974357,Negative
"Diabetes, Type 2",Invokana,0.012500000000000002,Neutral
Depression,Bupropion,0.06071428571428572,Neutral
High Blood Pressure,Hydrochlorothiazide / telmisartan,-0.1875,Negative
High Blood Pressure,Metoprolol,0.23142857142857146,Positive
Depression,Fluoxetine,0.27575757575757576,Positive
High Blood Pressure,Bystolic,0.183843537414966,Positive
"Diabetes, Type 2",Metformin,0.03208333333333333,Neutral
Depression,Citalopram,-0.3666666666666667,Negative
Depression,Escitalopram,-0.00848039215686275,Neutral
High Blood Pressure,Bisoprolol / hydrochlorothiazide,-0.11727272727272725,Negative
"Diabetes, Type 2",Dulaglutide,0.24444444444444446,Positive
Depression,Bupropion,0.18166666666666664,Positive
High Blood Pressure,Diovan,0.10833333333333334,Positive
Depression,Citalopram,0.4,Positive
Depression,Xanax,0.27708333333333335,Positive
"Diabetes, Type 2",Victoza,0.16458333333333336,Positive
Depression,Venlafaxine,0.03333333333333333,Neutral
Depression,Venlafaxine,0.041666666666666664,Neutral
Depression,Effexor XR,-0.021666666666666667,Neutral
High Blood Pressure,Hydrochlorothiazide,0.05097402597402598,Neutral
"Diabetes, Type 2",Levemir,0.25,Positive
Depression,Lamotrigine,0.21666666666666667,Positive
Depression,Citalopram,0.14166666666666666,Positive
Depression,Bupropion,-0.16157407407407406,Negative
Depression,Levomilnacipran,-0.24,Negative
Depression,Paroxetine,0.30449999999999994,Positive
"Diabetes, Type 2",Jardiance,-0.0131628787878788,Neutral
Depression,Zoloft,0.06574074074074078,Neutral
Depression,Duloxetine,0.050000000000000024,Neutral
Depression,Cymbalta,0.29345238095238096,Positive
Depression,Viibryd,-0.08728070175438597,Neutral
Depression,Pristiq,-0.20714285714285716,Negative
Depression,Citalopram,-0.02500000000000001,Neutral
Depression,Pristiq,-0.054166666666666675,Neutral
"Diabetes, Type 2",Dulaglutide,0.03786458333333337,Neutral
"Diabetes, Type 2",Victoza,0.11833333333333336,Positive
High Blood Pressure,Lisinopril,0.050000000000000024,Neutral
Depression,Effexor XR,0.1,Neutral
Depression,Bupropion,0.1,Neutral
Depression,Trintellix,0.4,Positive
High Blood Pressure,Nebivolol,0.18360881542699722,Positive
High Blood Pressure,Hydrochlorothiazide / lisinopril,0.125,Positive
High Blood Pressure,Amlodipine,-0.0291125541125541,Neutral
Depression,Parnate,0.0,Neutral
"Diabetes, Type 2",Empagliflozin,0.0,Neutral
"Diabetes, Type 2",Dulaglutide,0.0,Neutral
High Blood Pressure,Hydrochlorothiazide,0.25199999999999995,Positive
Depression,Vilazodone,-0.017142857142857133,Neutral
Depression,Wellbutrin XL,-0.08833333333333332,Neutral
Depression,Pristiq,-0.07006172839506172,Neutral
"Diabetes, Type 2",Insulin glargine,-0.11107954545454543,Negative
Depression,Pristiq,-0.1,Neutral
Depression,Vortioxetine,-0.1111111111111111,Negative
Depression,Celexa,-0.12222222222222223,Negative
Depression,Sertraline,-0.0738095238095238,Neutral
Depression,Lexapro,0.015736914600550957,Neutral
High Blood Pressure,Bystolic,-0.015625,Neutral
Depression,Escitalopram,-0.008333333333333312,Neutral
Depression,Zoloft,0.09375000000000001,Neutral
Depression,Elavil,-0.13333333333333333,Negative
Depression,Wellbutrin XL,0.10208333333333335,Positive
"Diabetes, Type 2",Dapagliflozin,-0.17238095238095238,Negative
High Blood Pressure,Amlodipine / benazepril,0.05,Neutral
High Blood Pressure,Amlodipine,0.125,Positive
Depression,Zoloft,0.0,Neutral
Depression,Desvenlafaxine,0.25,Positive
Depression,Celexa,0.21488095238095237,Positive
Depression,Vortioxetine,0.125,Positive
Depression,Effexor XR,0.18351113172541744,Positive
Depression,Zyprexa,0.09571428571428572,Neutral
Depression,Escitalopram,0.05,Neutral
High Blood Pressure,Atenolol,0.11666666666666665,Positive
Depression,Aripiprazole,0.3333333333333333,Positive
Depression,Wellbutrin SR,0.1513888888888889,Positive
Depression,Paxil,0.048484848484848485,Neutral
Depression,Lexapro,0.3666666666666667,Positive
Depression,Pristiq,0.1539772727272727,Positive
"Diabetes, Type 2",Invokana,-0.3499999999999999,Negative
High Blood Pressure,Bystolic,-0.125,Negative
"Diabetes, Type 2",Liraglutide,0.1266233766233766,Positive
Depression,Methylphenidate,-0.1375,Negative
Depression,Effexor,0.01743827160493827,Neutral
Depression,Venlafaxine,0.06833333333333333,Neutral
Depression,Effexor,-0.06071428571428574,Neutral
Depression,Aripiprazole,0.19,Positive
Depression,Duloxetine,0.03714285714285713,Neutral
High Blood Pressure,Toprol-XL,0.40367965367965364,Positive
Depression,Celexa,0.1965909090909091,Positive
Depression,Effexor,0.09047619047619049,Neutral
Depression,Effexor XR,-0.2785714285714286,Negative
Depression,Desvenlafaxine,-0.11363636363636363,Negative
Depression,Bupropion,0.115625,Positive
High Blood Pressure,Olmesartan,0.02777777777777778,Neutral
High Blood Pressure,Irbesartan,-0.1627551020408163,Negative
"Diabetes, Type 2",Liraglutide,0.005357142857142878,Neutral
"Diabetes, Type 2",Exenatide,0.4166666666666667,Positive
Depression,Pristiq,0.19995421245421247,Positive
"Diabetes, Type 2",Liraglutide,0.06197916666666666,Neutral
Depression,Escitalopram,-0.07211538461538462,Neutral
Depression,Fluoxetine,-0.22678571428571426,Negative
Depression,Sertraline,0.15625,Positive
High Blood Pressure,Chlorthalidone,0.052083333333333336,Neutral
Depression,Cymbalta,-0.0884199134199134,Neutral
Depression,Remeron,0.21875,Positive
Depression,Remeron,-0.005952380952380951,Neutral
"Diabetes, Type 2",Afrezza,0.22727272727272727,Positive
High Blood Pressure,Losartan,0.18333333333333335,Positive
"Diabetes, Type 2",Invokana,-0.25833333333333336,Negative
High Blood Pressure,Valsartan,0.049999999999999996,Neutral
Depression,Desvenlafaxine,0.09027777777777775,Neutral
Depression,Wellbutrin SR,0.5,Positive
Depression,Vilazodone,-0.17892156862745093,Negative
Depression,Bupropion,0.042499999999999996,Neutral
Depression,Sertraline,0.19027777777777777,Positive
Depression,Duloxetine,-0.2,Negative
High Blood Pressure,Benicar HCT,0.3241666666666667,Positive
Depression,Sertraline,0.1875,Positive
Depression,Brexpiprazole,0.1166666666666667,Positive
"Diabetes, Type 2",Sitagliptin,1.0,Positive
Depression,Brexpiprazole,-0.23958333333333334,Negative
"Diabetes, Type 2",Invokana,-0.04166666666666665,Neutral
High Blood Pressure,Doxazosin,0.8,Positive
Depression,Venlafaxine,0.43333333333333335,Positive
Depression,Sertraline,0.26249999999999996,Positive
Depression,Duloxetine,0.38333333333333336,Positive
"Diabetes, Type 2",Invokana,-0.10576923076923077,Negative
"Diabetes, Type 2",Jardiance,0.10833333333333332,Positive
High Blood Pressure,Amlodipine,0.24047619047619045,Positive
"Diabetes, Type 2",Januvia,-0.1388888888888889,Negative
Depression,S-adenosylmethionine,0.23623511904761907,Positive
Depression,Venlafaxine,-0.11900000000000002,Negative
Depression,Lexapro,-0.008035714285714243,Neutral
Depression,Venlafaxine,0.03452380952380955,Neutral
Depression,Venlafaxine,0.26964285714285713,Positive
Depression,Trintellix,0.1729895104895105,Positive
High Blood Pressure,Metoprolol,-0.29375,Negative
High Blood Pressure,Cozaar,0.1388888888888889,Positive
Depression,Fluoxetine,0.1,Neutral
Depression,Duloxetine,0.03125,Neutral
Depression,Nefazodone,0.09,Neutral
Depression,Effexor XR,-0.0031250000000000028,Neutral
Depression,Lexapro,0.22261904761904763,Positive
Depression,Vilazodone,0.0,Neutral
Depression,Escitalopram,0.13106060606060607,Positive
"Diabetes, Type 2",Invokana,0.02638888888888889,Neutral
"Diabetes, Type 2",Exenatide,0.04868197278911568,Neutral
High Blood Pressure,Amlodipine / olmesartan,0.33,Positive
"Diabetes, Type 2",Liraglutide,-0.0455952380952381,Neutral
Depression,Venlafaxine,0.05355477855477856,Neutral
"Diabetes, Type 2",Amaryl,0.5,Positive
Depression,Vilazodone,0.330952380952381,Positive
Depression,Abilify,0.16249999999999998,Positive
Depression,Amitriptyline,1.850371707708594e-17,Neutral
Depression,Zoloft,0.16479166666666667,Positive
Depression,Quetiapine,-0.375,Negative
Depression,Zoloft,0.049158249158249165,Neutral
Depression,Aripiprazole,0.0,Neutral
Depression,Venlafaxine,-0.1997835497835498,Negative
"Diabetes, Type 2",Byetta,0.04292929292929293,Neutral
Depression,Bupropion,0.43333333333333335,Positive
High Blood Pressure,Catapres-TTS,0.08333333333333334,Neutral
Depression,Aripiprazole,0.3,Positive
"Diabetes, Type 2",Farxiga,0.05069444444444446,Neutral
Depression,Pristiq,0.02000000000000004,Neutral
"Diabetes, Type 2",Janumet,0.4533333333333333,Positive
High Blood Pressure,Ramipril,-0.0045454545454545565,Neutral
"Diabetes, Type 2",Dulaglutide,-0.4175,Negative
High Blood Pressure,Amlodipine,-0.15476190476190477,Negative
"Diabetes, Type 2",Lantus Solostar,0.75,Positive
High Blood Pressure,Furosemide,0.1,Neutral
Depression,Sertraline,0.09375000000000001,Neutral
Depression,Pristiq,0.054712301587301594,Neutral
Depression,Selegiline,0.07606060606060605,Neutral
High Blood Pressure,Olmesartan,-0.6999999999999998,Negative
Depression,Fluoxetine,-0.25,Negative
Depression,Vilazodone,-0.3458333333333333,Negative
Depression,Bupropion,0.033333333333333326,Neutral
High Blood Pressure,Metoprolol,-0.11875,Negative
Depression,Trintellix,-0.19924242424242425,Negative
Depression,Citalopram,0.15,Positive
Depression,Alprazolam,0.14180555555555557,Positive
High Blood Pressure,Bisoprolol / hydrochlorothiazide,0.7,Positive
Depression,Venlafaxine,-0.08125,Neutral
Depression,Cymbalta,0.8,Positive
Depression,Viibryd,0.16666666666666666,Positive
Depression,Zoloft,-0.06666666666666665,Neutral
Depression,Paroxetine,0.2,Positive
Depression,Lexapro,0.0,Neutral
Depression,Celexa,-0.00833333333333334,Neutral
Depression,Sertraline,0.19357142857142856,Positive
Depression,Tramadol,-0.09946969696969697,Neutral
"Diabetes, Type 2",Exenatide,0.1,Neutral
"Diabetes, Type 2",Empagliflozin,0.2602564102564102,Positive
Depression,Aripiprazole,0.2,Positive
"Diabetes, Type 2",Victoza,-0.19875000000000004,Negative
"Diabetes, Type 2",Dulaglutide,-0.1775297619047619,Negative
Depression,Viibryd,-0.6666666666666666,Negative
Depression,Venlafaxine,0.7,Positive
Depression,Citalopram,-0.04489795918367345,Neutral
High Blood Pressure,Benicar,0.11249999999999999,Positive
"Diabetes, Type 2",Canagliflozin,0.22999999999999998,Positive
Depression,Citalopram,-0.0013888888888888779,Neutral
Depression,Citalopram,-0.025,Neutral
"Diabetes, Type 2",Exenatide,0.2083333333333333,Positive
Depression,Quetiapine,0.0,Neutral
"Diabetes, Type 2",Invokana,-0.231875,Negative
Depression,Vortioxetine,-0.4583333333333333,Negative
"Diabetes, Type 2",Liraglutide,-0.0008333333333333304,Neutral
Depression,Aripiprazole,0.8,Positive
Depression,Effexor,0.125,Positive
Depression,Fluvoxamine,0.0,Neutral
"Diabetes, Type 2",Sitagliptin,0.1399621212121212,Positive
Depression,Seroquel,0.0,Neutral
Depression,Celexa,0.2,Positive
Depression,Duloxetine,-0.053125000000000006,Neutral
Depression,Olanzapine,0.5,Positive
"Diabetes, Type 2",Glipizide,0.2833333333333333,Positive
"Diabetes, Type 2",Bydureon,0.24,Positive
Depression,Lexapro,1.0,Positive
Depression,Desvenlafaxine,0.6,Positive
Depression,Fluoxetine,0.06818181818181818,Neutral
Depression,Venlafaxine,0.17708333333333334,Positive
Depression,Oleptro,-0.07272727272727271,Neutral
Depression,Pristiq,-0.125,Negative
Depression,Wellbutrin,0.18166666666666664,Positive
High Blood Pressure,Atacand,-0.125,Negative
Depression,Symbyax,0.175,Positive
High Blood Pressure,Amlodipine,0.12242063492063493,Positive
Depression,Sertraline,0.30909090909090914,Positive
Depression,Cymbalta,0.0,Neutral
Depression,Mirtazapine,0.08333333333333333,Neutral
Depression,Duloxetine,0.475,Positive
High Blood Pressure,Telmisartan,0.0,Neutral
Depression,Desvenlafaxine,-0.125,Negative
Depression,St. john's wort,0.11333333333333333,Positive
Depression,Prozac,0.034999999999999996,Neutral
Depression,Escitalopram,0.05130208333333336,Neutral
Depression,Viibryd,0.22975206611570248,Positive
Depression,Bupropion,-0.07678571428571428,Neutral
High Blood Pressure,Valsartan,-0.008333333333333344,Neutral
High Blood Pressure,Nebivolol,0.0,Neutral
Depression,Zoloft,-0.175,Negative
"Diabetes, Type 2",Trulicity,0.011666666666666659,Neutral
Depression,Remeron,0.0,Neutral
Depression,Trazodone,0.006833333333333335,Neutral
Depression,Wellbutrin,0.22777777777777777,Positive
"Diabetes, Type 2",Liraglutide,-0.040476190476190485,Neutral
High Blood Pressure,Amlodipine / benazepril,0.03333333333333333,Neutral
"Diabetes, Type 2",Amaryl,0.023333333333333338,Neutral
Depression,Amitriptyline,3.7007434154171884e-18,Neutral
Depression,Effexor,0.008928571428571428,Neutral
High Blood Pressure,Lisinopril,0.25,Positive
Depression,Pristiq,-0.08333333333333331,Neutral
Depression,Venlafaxine,0.11428571428571434,Positive
Depression,Trintellix,0.1275,Positive
Depression,Desvenlafaxine,0.1547619047619048,Positive
Depression,Tramadol,0.040624999999999994,Neutral
Depression,Desipramine,0.14523809523809522,Positive
Depression,Lamotrigine,0.2333333333333333,Positive
Depression,Mirtazapine,0.2333333333333333,Positive
Depression,Citalopram,0.17476190476190478,Positive
Depression,Fluoxetine,-0.17053571428571426,Negative
High Blood Pressure,Cardizem LA,-0.19999999999999996,Negative
Depression,St. john's wort,0.16,Positive
Depression,Prozac,0.325,Positive
High Blood Pressure,Hydrochlorothiazide / lisinopril,0.07927272727272727,Neutral
Depression,Citalopram,-0.06607142857142856,Neutral
Depression,Vortioxetine,0.1525,Positive
Depression,Venlafaxine,0.4121212121212121,Positive
Depression,Seroquel XR,-0.013095238095238113,Neutral
Depression,Cymbalta,-0.15256410256410252,Negative
High Blood Pressure,Exforge,0.30625,Positive
Depression,Trazodone,0.025000000000000022,Neutral
Depression,Venlafaxine,0.008333333333333331,Neutral
Depression,Desvenlafaxine,0.09479166666666666,Neutral
Depression,Zoloft,0.06,Neutral
"Diabetes, Type 2",Canagliflozin,0.24166666666666667,Positive
Depression,Vortioxetine,0.1918181818181818,Positive
Depression,Prozac,-0.015624999999999993,Neutral
Depression,Effexor,0.16666666666666666,Positive
Depression,Duloxetine,0.0375,Neutral
"Diabetes, Type 2",Liraglutide,0.05396825396825394,Neutral
High Blood Pressure,Valsartan,0.0,Neutral
High Blood Pressure,Zestril,0.038888888888888896,Neutral
High Blood Pressure,Lisinopril,-0.4333333333333333,Negative
Depression,Escitalopram,0.075,Neutral
Depression,Effexor,0.23636363636363636,Positive
High Blood Pressure,Losartan,0.0906926406926407,Neutral
Depression,Citalopram,0.13333333333333333,Positive
Depression,Desvenlafaxine,0.0,Neutral
Depression,Venlafaxine,0.21060606060606063,Positive
Depression,Vilazodone,0.7666666666666666,Positive
Depression,Viibryd,0.03717948717948718,Neutral
High Blood Pressure,Metoprolol,0.08500000000000002,Neutral
"Diabetes, Type 2",Canagliflozin,0.22307692307692312,Positive
Depression,Viibryd,0.095578231292517,Neutral
Depression,Cymbalta,0.35438311688311686,Positive
High Blood Pressure,Losartan,-0.19166666666666668,Negative
Depression,Celexa,0.03666666666666667,Neutral
High Blood Pressure,Amlodipine / olmesartan,0.0234375,Neutral
Depression,Venlafaxine,0.2016025641025641,Positive
High Blood Pressure,Lisinopril,-0.6,Negative
Depression,Bupropion,0.42333333333333334,Positive
Depression,Pristiq,0.1513888888888889,Positive
"Diabetes, Type 2",Bydureon,0.08749999999999998,Neutral
High Blood Pressure,Metoprolol,0.26666666666666666,Positive
"Diabetes, Type 2",Liraglutide,-0.1375,Negative
High Blood Pressure,Hydrochlorothiazide,0.122,Positive
Depression,Viibryd,-0.18857142857142853,Negative
Depression,Wellbutrin,-0.046875,Neutral
Depression,Venlafaxine,0.13055555555555556,Positive
Depression,Mirtazapine,0.1527777777777778,Positive
Depression,Imipramine,0.06666666666666665,Neutral
"Diabetes, Type 2",Janumet,-0.3249999999999999,Negative
High Blood Pressure,Olmesartan,0.20833333333333337,Positive
Depression,Vortioxetine,-0.033333333333333326,Neutral
High Blood Pressure,Carvedilol,0.04999999999999999,Neutral
Depression,Pristiq,1.0,Positive
"Diabetes, Type 2",Victoza,0.8,Positive
Depression,Lexapro,0.15972222222222224,Positive
Depression,Cymbalta,0.0375,Neutral
Depression,Remeron,-0.0863888888888889,Neutral
Depression,Cymbalta,0.03125,Neutral
Depression,Citalopram,0.15,Positive
Depression,Quetiapine,-0.02187499999999999,Neutral
Depression,Pristiq,0.25,Positive
Depression,Vortioxetine,0.15745454545454546,Positive
High Blood Pressure,Nebivolol,0.3,Positive
Depression,Viibryd,0.2625,Positive
Depression,Trintellix,0.0893939393939394,Neutral
Depression,Bupropion,0.05595238095238096,Neutral
Depression,Celexa,0.09166666666666666,Neutral
Depression,Bupropion,0.033012820512820513,Neutral
Depression,Sertraline,0.23263888888888887,Positive
Depression,Venlafaxine,0.0,Neutral
High Blood Pressure,Olmesartan,-0.5,Negative
High Blood Pressure,Olmesartan,0.11303030303030304,Positive
Depression,Viibryd,-0.19375,Negative
Depression,Celexa,0.01944444444444446,Neutral
Depression,Trazodone,0.062499999999999986,Neutral
High Blood Pressure,Benicar HCT,-0.08571428571428573,Neutral
High Blood Pressure,Hydrochlorothiazide,0.5,Positive
High Blood Pressure,Nitro-Dur,-0.21428571428571427,Negative
Depression,Effexor,-0.2046875,Negative
Depression,Mirtazapine,0.17857142857142858,Positive
Depression,Remeron,0.3595238095238096,Positive
"Diabetes, Type 2",Trulicity,-0.2041666666666667,Negative
Depression,Lexapro,0.0,Neutral
Depression,Venlafaxine,-0.1275,Negative
Depression,Vortioxetine,-0.0641025641025641,Neutral
Depression,Wellbutrin SR,0.1384848484848485,Positive
Depression,Vilazodone,-0.07962962962962965,Neutral
Depression,Lamotrigine,-0.014444444444444437,Neutral
"Diabetes, Type 2",Invokana,-0.17500000000000002,Negative
Depression,Escitalopram,-0.25,Negative
Depression,Effexor XR,0.03333333333333333,Neutral
"Diabetes, Type 2",Bydureon,0.004166666666666672,Neutral
Depression,Wellbutrin XL,0.5541666666666667,Positive
Depression,Methylphenidate,0.2757692307692308,Positive
Depression,Escitalopram,0.12,Positive
Depression,Citalopram,-0.1875,Negative
High Blood Pressure,Azor,-0.16,Negative
"Diabetes, Type 2",Insulin lispro,0.7,Positive
Depression,Effexor,0.03685556867375048,Neutral
